<<<<<<< HEAD
"V1";"V2";"V3";"V4";"V5";"V6";"V7";"Enota";"Kategorija"
"144";"Marelica";28;86;0.6;0;0;6.7;"sadje"
"145";"Nektarina";50;80;0.9;0;0;12.4;"sadje"
"146";"Cešnje";48;86;0.8;0.1;0;11.7;"sadje"
"147";"Višnje";41;84;0.8;0;0;10.2;"sadje"
"148";"Slive";38;84;0.6;0;0;9.6;"sadje"
"149";"Ananas";46;84;0.5;0;0;11.6;"sadje"
"150";"Avokado";126;81;2;10;0;7;"sadje"
"151";"Banane";79;71;1.1;0.3;0;19.2;"sadje"
"152";"Kivi";40;83;1;0;0;9;"sadje"
"153";"Dinja";24;94;1;0;0;5.3;"sadje"
"154";"Fige, svee";41;85;1.3;0;0;9.5;"sadje"
"155";"Lubenica";21;94;0.4;0;0;5.3;"sadje"
"156";"Datelj";248;15;2;0;0;63.9;"sadje"
"157";"Rozine";246;21;1.1;0;0;64.4;"sadje"
"158";"Fige";213;17;3.6;0;0;52.9;"sadje"
"159";"Slive";161;23;2.4;0;0;40.1;"sadje"
"160";"Šipek, mleti";170;10;4.5;1.5;0;79.2;"sadje"
"161";"Arašidi, praeni";570;4;24.3;49;0;8.6;"sadje"
"162";"Arašidi, surovi";570;4;24.3;49;0;8.6;"sadje"
"163";"Lešnik, suhi";701;6;14;69;0;6;"sadje"
"164";"Mandelj, suhi";565;5;16.9;53.5;0;4.3;"sadje"
"165";"Orehi, suhi";648;5;15.8;61.4;0;8.8;"sadje"
"166";"Kokosov oreh";346;42;3.2;36;0;3.7;"sadje"
"167";"Pesin sok";36;90;1;0;0;8;"pijaca"
"168";"Paradinikov sok";20;94;1;0;0;4;"pijaca"
"169";"Ananasov, konzer., sok.";53;86;0.4;0.1;0;13.4;"pijaca"
"170";"Borovnicev sok";45;87;0.1;0;0;11.1;"pijaca"
"171";"Breskov sok";48;87;0.3;0;0;11.7;"pijaca"
"172";"Pomarancni, svei sok";45;88;0.7;0.2;0;10.4;"pijaca"
"173";"Pomarancni, sladkani sok";51;96;0.7;0.1;0;12.8;"pijaca"
"174";"Pivo";43;92;0.3;0;0;3.6;"pijaca"
"175";"Vino, belo, 12 % alk.";85;88;0.1;0;0;3.4;"pijaca"
"176";"Vino, rdece, 12 % alk.";80;87;0.2;0;0;2.5;"pijaca"
"177";"Vino, desertno, sladko";151;76;0.1;0;0;11.4;"pijaca"
"178";"Jajca";143;0;12.58;9.94;423;0.77;"ostalo"
"179";"Voda";0;100;0;0;0;0;"ostalo"
"180";"Olje";884;0;0;0;0;0;"ostalo"
"181";"Kvas";295;7.6;38.3;4.6;0;38.2;"ostalo"
"182";"Sol";0;0;0;0;0;0;"ostalo"
"183";"Kis, balzamicni";88;76.45;0.49;0;0;17.03;"ostalo"
"184";"Poper";255;10.51;10.95;3.26;0;64.81;"ostalo"
"185";"Origano";306;7.16;11;10.25;0;64.43;"ostalo"
>>>>>>> 4da8b65e4081d318c037856749e4d2532b4d368f
